"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.01G071300.Wm82.a4.v1",5108.031100919,-1.59010180901661,0.0834349964575781,-19.0579717927487,5.6419892922713e-81,8.55754241816569e-80
"Glyma.01G071700.Wm82.a4.v1",41.9459053185364,-3.49273686037002,0.460998523708043,-7.57645996840984,3.55111208059958e-14,1.19767320482334e-13
"Glyma.01G074400.Wm82.a4.v1",99.1451790561159,-0.702022174882401,0.219946077075572,-3.19179220751089,0.001413930114427,0.00250307315212939
"Glyma.01G074700.Wm82.a4.v1",484.818906981732,-0.455455589265674,0.131522961592822,-3.4629359295885,0.000534315609667619,0.000987808186939017
"Glyma.01G074800.Wm82.a4.v1",443.823736478016,-0.771309981667857,0.126865121874919,-6.07976384895071,1.20359676758379e-09,3.29009084040704e-09
"Glyma.01G075800.Wm82.a4.v1",21.7592354066982,-1.19752045003716,0.507044891875843,-2.36176415387375,0.0181882090707585,0.0279364312531405
"Glyma.01G076100.Wm82.a4.v1",731.861726887397,-0.794547076802199,0.113870377945595,-6.97764503057869,3.00168894274833e-12,9.32523062638856e-12
"Glyma.01G076900.Wm82.a4.v1",1852.40762246705,-0.915053135224683,0.0747965721018692,-12.233891333662,2.04883182584925e-34,1.28933936590282e-33
"Glyma.01G077300.Wm82.a4.v1",1039.98235565945,-0.77608053418805,0.091732181112368,-8.46028650771298,2.66721417209539e-17,1.01828857655028e-16
"Glyma.01G077400.Wm82.a4.v1",296.571288136152,-0.342982213107191,0.131321229018621,-2.61178040801428,0.00900720883029893,0.0144671036399604
"Glyma.01G077900.Wm82.a4.v1",124.899538197028,-0.857190634984099,0.221684593994378,-3.86671269996254,0.000110312254837011,0.000217049839856859
"Glyma.01G078800.Wm82.a4.v1",810.724672993686,-0.864787656341765,0.112175690905825,-7.70922513923077,1.2658393319618e-14,4.34914155363536e-14
"Glyma.01G079500.Wm82.a4.v1",745.755151713842,-0.46945530074524,0.0947403611097309,-4.95517744756644,7.22643088565941e-07,1.6786447348525e-06
"Glyma.01G080200.Wm82.a4.v1",613.379091411618,-0.431742760356189,0.104844087108733,-4.11795049451318,3.82256782664353e-05,7.82127378428812e-05
"Glyma.01G081100.Wm82.a4.v1",198.047811912682,-3.2394448316786,0.223914979582777,-14.4672984260128,1.94981270818966e-47,1.65540274823071e-46
"Glyma.01G081300.Wm82.a4.v1",3629.10174429079,-5.12745351061884,0.0958636477567455,-53.4869434932184,0,0
"Glyma.01G081900.Wm82.a4.v1",160.046573052353,-3.17063648226073,0.225468373083017,-14.0624444967867,6.46151005759792e-45,5.19243123233186e-44
