"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.05G142500.Wm82.a4.v1",3.46109685101569,5.30524055550035,1.59345444161273,3.32939581889203,0.000870346181279481,0.00157562670748872
"Glyma.05G142800.Wm82.a4.v1",101.734802355577,0.967370884455474,0.215333336819323,4.49243437520849,7.04136197733169e-06,1.52728925335755e-05
"Glyma.05G143000.Wm82.a4.v1",119.256384365683,-0.817360333382188,0.207677148170873,-3.93572591197988,8.29455959025853e-05,0.000165048795951066
"Glyma.05G143100.Wm82.a4.v1",701.388841547031,0.493014731365057,0.0995615039966643,4.95186102634182,7.35070937468347e-07,1.70647079540535e-06
"Glyma.05G143300.Wm82.a4.v1",211.435853023936,-0.717764941723738,0.15633997146498,-4.59105201950556,4.41017390491363e-06,9.70253574843822e-06
"Glyma.05G143400.Wm82.a4.v1",36.4595378072172,2.78696540179472,0.435252521420906,6.40309995837938,1.52253439321905e-10,4.35812427790166e-10
"Glyma.05G143500.Wm82.a4.v1",56.0509904121989,1.70998328688695,0.312115318071529,5.47869068859693,4.2848464484879e-08,1.07417895730791e-07
"Glyma.05G143700.Wm82.a4.v1",600.75345433529,-1.07112549585,0.111297453560984,-9.62398924305205,6.33264296739044e-22,2.80736831339527e-21
"Glyma.05G143800.Wm82.a4.v1",1218.04271429768,0.25664218563976,0.0883012238969081,2.90643973337664,0.00365567311652869,0.00616551161020791
"Glyma.05G143900.Wm82.a4.v1",210.175943647556,-0.727546255892081,0.16272258723411,-4.4710833834356,7.78243455467929e-06,1.68303560209012e-05
"Glyma.05G144000.Wm82.a4.v1",201.833805251678,-0.344518014941749,0.160135584500442,-2.15141447802814,0.0314434994461858,0.0466133936797786
"Glyma.05G144300.Wm82.a4.v1",216.503275809963,3.95426163693213,0.215687046548709,18.3333292388476,4.48588617468387e-75,6.22976008402389e-74
"Glyma.05G144800.Wm82.a4.v1",581.391333133175,0.483855142088098,0.110651585690047,4.37278091471239,1.22673815135724e-05,2.6172158247131e-05
"Glyma.05G144902.Wm82.a4.v1",27.5793286663398,-1.01185476230663,0.457659727069887,-2.21093249516384,0.0270405120256822,0.0404792982590752
"Glyma.05G145200.Wm82.a4.v1",1242.64730540547,-0.329701234823606,0.0855802687464031,-3.8525379699449,0.000116899842377742,0.000229465141953005
"Glyma.05G145400.Wm82.a4.v1",109.037557782155,-1.42969204920574,0.220042043232445,-6.49735854204675,8.17424910090045e-11,2.36997107799562e-10
"Glyma.05G145700.Wm82.a4.v1",84.2408317168911,-7.0094969192376,0.757497703594714,-9.25348933201243,2.17281085356309e-20,9.18773395749615e-20
"Glyma.05G145800.Wm82.a4.v1",963.403132025658,0.500915657803485,0.086333064599978,5.80212992698064,6.54777923150062e-09,1.71962335790326e-08
"Glyma.05G145900.Wm82.a4.v1",109.839967390447,1.36809652549986,0.221309003052244,6.18183854534328,6.33593093524827e-10,1.75787397699844e-09
"Glyma.05G146100.Wm82.a4.v1",347.263722314664,1.23996871467305,0.134633719063948,9.20994178348506,3.2630185307656e-20,1.37183203577481e-19
"Glyma.05G146400.Wm82.a4.v1",157.217799625378,-1.15770640343602,0.194493466137447,-5.95241797283762,2.64209565114776e-09,7.09774936038775e-09
"Glyma.05G146500.Wm82.a4.v1",582.671735049075,0.231528685914443,0.106444054296921,2.17512088809211,0.0296210585519227,0.0440853767006767
"Glyma.05G146700.Wm82.a4.v1",261.376894810364,-0.401079745081544,0.138921916507107,-2.88708761846822,0.00388825935417731,0.00653718763500883
"Glyma.05G146800.Wm82.a4.v1",987.677920715589,-1.38690652517798,0.0931948731861921,-14.8817899285845,4.32764616518291e-50,3.88506921914507e-49
"Glyma.05G146900.Wm82.a4.v1",181.069099184226,0.479249168714406,0.185410249755711,2.58480407283765,0.00974343474505458,0.0155785115323907
"Glyma.05G147000.Wm82.a4.v1",41.3188573630796,1.22419119659592,0.347386664739757,3.52400169854826,0.000425081524206062,0.000793037633016217
"Glyma.05G147100.Wm82.a4.v1",17.9033075174072,4.47673932929711,0.822770826353724,5.44105258220772,5.29666760636144e-08,1.32112563631339e-07
"Glyma.05G147200.Wm82.a4.v1",965.676582234402,1.35021860715267,0.0926200182367601,14.5780429852775,3.87465503179021e-48,3.33655726684064e-47
"Glyma.05G147400.Wm82.a4.v1",1002.80339432178,1.32960331905915,0.129952886798663,10.2314258021764,1.43392478460436e-24,6.90266984078164e-24
"Glyma.05G147800.Wm82.a4.v1",265.415471979726,-1.952439683048,0.155963377270499,-12.5185778688399,5.90842917049679e-36,3.85676443020064e-35
"Glyma.05G148000.Wm82.a4.v1",1189.93201394448,1.51655888851082,0.0843625839661454,17.9766765930191,2.96755580446361e-72,3.93706094686428e-71
"Glyma.05G148100.Wm82.a4.v1",1526.71185610773,1.11166929988171,0.0819001021131625,13.5734788015979,5.75256241031705e-42,4.34528810047995e-41
"Glyma.05G148200.Wm82.a4.v1",1427.72893233314,-0.228152575942622,0.0796272008964215,-2.86525927540014,0.00416667934053645,0.00697966073481956
"Glyma.05G148300.Wm82.a4.v1",1085.31677558563,0.956599983693209,0.0882900274201766,10.8347455725742,2.35619475183923e-27,1.2281810548191e-26
"Glyma.05G148600.Wm82.a4.v1",691.158865186431,2.68757951175875,0.130315460414205,20.6236428372837,1.68389555534205e-94,3.12218878334398e-93
"Glyma.05G149100.Wm82.a4.v1",143.304756003696,-4.14023623706855,0.268062777015204,-15.4450247929563,8.14962851736002e-54,7.83031799658378e-53
"Glyma.05G149200.Wm82.a4.v1",236.270788471363,1.28231129975272,0.157888037611261,8.12164948753066,4.59889913841981e-16,1.6721269968561e-15
"Glyma.05G149500.Wm82.a4.v1",166.830384194817,-0.588114982195664,0.18775984713743,-3.13227237432291,0.00173458873147909,0.00303818799518549
"Glyma.05G149600.Wm82.a4.v1",6.46597778496043,3.66725436959905,1.14789734771397,3.19475811744174,0.00139948078449964,0.00247911006286207
"Glyma.05G149700.Wm82.a4.v1",17.4339197656097,3.61996430557919,0.681836893665293,5.30913527738233,1.10146560447904e-07,2.69672834951679e-07
"Glyma.05G149800.Wm82.a4.v1",433.93755335783,5.39180540240916,0.215609209051733,25.0073056996162,5.09124078863798e-138,1.63859493967933e-136
"Glyma.05G149900.Wm82.a4.v1",1109.97959221757,0.497739483436168,0.0897921663024786,5.54323950442912,2.96926279105491e-08,7.50277649927758e-08
"Glyma.05G149951.Wm82.a4.v1",20.4748134709481,-3.72059052073167,0.680531045773994,-5.46718705022502,4.57233483390471e-08,1.1448909554461e-07
"Glyma.05G150000.Wm82.a4.v1",510.550321530941,-0.354301262590036,0.120237615108408,-2.94667573263653,0.00321209845609267,0.00545174647537765
"Glyma.05G150100.Wm82.a4.v1",11.9612177065291,2.4976241440642,0.693083573179529,3.60364065852306,0.000313790808368866,0.000592832080426492
"Glyma.05G150300.Wm82.a4.v1",199.811053166522,-0.620490967037584,0.173753813126463,-3.57109266192605,0.000355495089803229,0.00066770610087566
"Glyma.05G150400.Wm82.a4.v1",379.454853129371,3.82400788848583,0.167127216841521,22.8808207349732,7.21311269944156e-116,1.79666064027375e-114
"Glyma.05G150500.Wm82.a4.v1",27.8714257337228,-1.61575552861653,0.455979939246904,-3.5434794155311,0.000394884136108615,0.000738622410978222
"Glyma.05G150700.Wm82.a4.v1",190.574163975145,-2.02673312123713,0.193768713067967,-10.4595478245563,1.32486402717451e-25,6.59568849677839e-25
"Glyma.05G150800.Wm82.a4.v1",180.953250393185,-1.03485088673939,0.184772720261462,-5.60066921824295,2.13525849394103e-08,5.44632769793977e-08
"Glyma.05G151000.Wm82.a4.v1",12.9365596813604,-6.12647503310956,1.29505441147079,-4.73066998486322,2.23780055447108e-06,5.03098119568496e-06
"Glyma.05G151100.Wm82.a4.v1",593.345683484657,-1.25912804223482,0.102423089214686,-12.2934003640098,9.82831208809616e-35,6.23350813396521e-34
"Glyma.05G151200.Wm82.a4.v1",308.855727596845,-2.26700937144506,0.145168577025279,-15.6163917694825,5.63029809507473e-55,5.51850517260934e-54
"Glyma.05G151400.Wm82.a4.v1",26.3990865966816,-5.00589680737424,0.771619680799229,-6.48751830978343,8.72617381643842e-11,2.52575286904374e-10
"Glyma.05G151500.Wm82.a4.v1",1185.17941659252,0.711131651084957,0.0840055229126394,8.46529640467199,2.55502069980325e-17,9.75847435686512e-17
"Glyma.05G151800.Wm82.a4.v1",209.2272372909,1.34425903755409,0.191885786560296,7.00551646711824,2.46076388482589e-12,7.67738941658311e-12
"Glyma.05G151900.Wm82.a4.v1",30.0758122996375,-4.00292484563425,0.574007441214362,-6.97364625999573,3.08830042462191e-12,9.58881711647435e-12
"Glyma.05G152000.Wm82.a4.v1",10870.078579965,-2.41817011133396,0.0725376454900313,-33.3367604503552,1.13318140261871e-243,9.01092575597009e-242
"Glyma.05G152100.Wm82.a4.v1",2205.49934338093,-2.16223122489976,0.0922528188635838,-23.4381046729542,1.74796862311858e-121,4.6559416513481e-120
"Glyma.05G152200.Wm82.a4.v1",926.464559891614,-2.26694015696493,0.0977894499991297,-23.181847908799,6.94190814654036e-119,1.79132334453496e-117
"Glyma.05G152300.Wm82.a4.v1",1247.08675686138,1.07711883087329,0.109143521834742,9.86882970941868,5.68236832931622e-23,2.60633305414878e-22
"Glyma.05G152400.Wm82.a4.v1",302.976854222267,0.974238218267403,0.155773468682285,6.25419865467884,3.99562154857446e-10,1.12025946050981e-09
"Glyma.05G152500.Wm82.a4.v1",625.56702717548,4.03291063498697,0.134311115936417,30.0266333644056,4.40839470721516e-198,2.5273466488876e-196
"Glyma.05G152800.Wm82.a4.v1",742.566608923562,1.6005130688856,0.110226152052617,14.5202661898383,9.01594474920114e-48,7.70969763593105e-47
"Glyma.05G152900.Wm82.a4.v1",437.201882971017,0.714608694612169,0.126105435440305,5.66675569627168,1.45526600784778e-08,3.75014650564707e-08
"Glyma.05G153200.Wm82.a4.v1",150.634033317719,0.940977528557211,0.246934855484517,3.81063064876319,0.000138612733389529,0.000270250903856569
"Glyma.05G153300.Wm82.a4.v1",601.885676842093,1.03489745946282,0.115817277862235,8.93560510629363,4.04955841258379e-19,1.63992877969646e-18
"Glyma.05G153500.Wm82.a4.v1",88.8164397830759,1.00118774769347,0.229209237954284,4.36800783698411,1.25384995296758e-05,2.67205857323939e-05
"Glyma.05G153800.Wm82.a4.v1",32.9957057785421,-1.15906090707716,0.377303341533104,-3.07196035520788,0.00212657967096092,0.0036840295926906
"Glyma.05G154200.Wm82.a4.v1",528.720535444009,0.398146518914639,0.111366006245217,3.57511715054197,0.000350071106985777,0.000658331821518375
"Glyma.05G154600.Wm82.a4.v1",655.707050497805,-1.50552946031716,0.101517569153004,-14.8302355235485,9.34046650349878e-50,8.3379786706902e-49
"Glyma.05G154700.Wm82.a4.v1",2023.13399256405,2.56477446209638,0.0867088144176376,29.5791665394364,2.76984104248673e-192,1.50833320952608e-190
"Glyma.05G155100.Wm82.a4.v1",979.352623695177,-0.437892435454344,0.0915243906346011,-4.78443431765168,1.71469556391675e-06,3.88180931414389e-06
"Glyma.05G155200.Wm82.a4.v1",407.481775619723,-0.632950748816795,0.116047551491754,-5.45423613579448,4.91838080660585e-08,1.22967608010977e-07
"Glyma.05G155400.Wm82.a4.v1",147.611773351469,2.83333651599866,0.217872002403813,13.004592075797,1.15212043352289e-38,8.01026114472379e-38
"Glyma.05G155500.Wm82.a4.v1",90.5295007799668,3.59887124895226,0.302926352443208,11.8803505206004,1.49738139850075e-32,8.97861917605511e-32
"Glyma.05G155600.Wm82.a4.v1",565.431693581569,4.4289883789718,0.153572145343789,28.8397897226544,6.80454182700253e-183,3.39423405307567e-181
"Glyma.05G155700.Wm82.a4.v1",370.51537098882,-0.736510094546006,0.132281197289283,-5.56776102453433,2.58033372435257e-08,6.54423732986196e-08
"Glyma.05G156000.Wm82.a4.v1",89.6732870851543,-4.1419337743664,0.3458557486501,-11.9758997516527,4.75253489957186e-33,2.88891494534985e-32
"Glyma.05G156100.Wm82.a4.v1",599.669433172309,-1.96392212009234,0.110077593151488,-17.8412523735836,3.38034071331621e-71,4.40173862669233e-70
"Glyma.05G156200.Wm82.a4.v1",203.3614580908,-1.4640334013001,0.184044068794155,-7.95479805946671,1.79423920626984e-15,6.37910693389921e-15
"Glyma.05G156300.Wm82.a4.v1",10157.8041760592,0.753314768952042,0.0636588022058591,11.8336309017562,2.6157687732236e-32,1.55717104260343e-31
"Glyma.05G156500.Wm82.a4.v1",204.461782246957,2.02200846336238,0.172059663752732,11.7517866724895,6.91412946594162e-32,4.07009541583462e-31
"Glyma.05G156800.Wm82.a4.v1",116.031000259171,-2.00615068218448,0.221482710602058,-9.05782070632577,1.33082779275684e-19,5.47513414900827e-19
"Glyma.05G156900.Wm82.a4.v1",1878.3426384184,-1.1258917084639,0.0829499629910109,-13.5731429872477,5.77898455030981e-42,4.36437915273745e-41
"Glyma.05G157200.Wm82.a4.v1",69.1598583960333,0.599976211615658,0.276131233120744,2.17279372867359,0.0297958455306343,0.0443298923054412
"Glyma.05G157300.Wm82.a4.v1",6323.5974739196,-2.32662579062303,0.0692996473289133,-33.5734145886816,4.1001489758795e-247,3.35876427959439e-245
"Glyma.05G157500.Wm82.a4.v1",28.6785124605837,-2.30081541565102,0.473907177944635,-4.85499170033634,1.20391785771911e-06,2.75369585822021e-06
"Glyma.05G157600.Wm82.a4.v1",82.3378739176745,-0.577718600872831,0.244029429269465,-2.36741364597832,0.0179128997282261,0.0275432572277458
"Glyma.05G157700.Wm82.a4.v1",66.0080326088435,-1.00093488781693,0.291417097407266,-3.43471572780814,0.000593175724090233,0.00109195124334898
"Glyma.05G157800.Wm82.a4.v1",5016.63129636698,-2.27977826565226,0.0672170873421266,-33.9166476233709,3.78628632008003e-252,3.28577038872699e-250
"Glyma.05G158000.Wm82.a4.v1",306.941081429258,-0.527982640158199,0.129644441369031,-4.07254360142833,4.65024913605643e-05,9.45826036288019e-05
"Glyma.05G158300.Wm82.a4.v1",472.0820026838,0.252425748658635,0.114286657753986,2.20870706711896,0.0271950225591739,0.040697775797244
"Glyma.05G158700.Wm82.a4.v1",450.867130426933,-0.649900658232416,0.130361836280592,-4.98535980141893,6.18466120531761e-07,1.44282190151674e-06
"Glyma.05G159200.Wm82.a4.v1",127.836156472615,2.45362706921819,0.231509260501824,10.5983970744828,3.0313113590308e-26,1.53401870265957e-25
"Glyma.05G159400.Wm82.a4.v1",278.355540354367,-0.945417669773001,0.140407904837464,-6.73336498302868,1.65783499797075e-11,4.97507565710313e-11
"Glyma.05G160301.Wm82.a4.v1",682.626957937433,-1.7315465847468,0.107358710765223,-16.1286082182322,1.60598932706412e-58,1.69848787762123e-57
"Glyma.05G160700.Wm82.a4.v1",2.61935627902657,-4.8168513763835,1.67432563325025,-2.87689042126941,0.00401615032650262,0.00673968538235605
"Glyma.05G160800.Wm82.a4.v1",33.4961249794993,0.87870589814785,0.373615412113943,2.35189949251844,0.0186778209936785,0.0286417870645791
